127.0.0.1, 2016-03-16 23:21:49, GET, /admin/static/_2.13.4/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000387
127.0.0.1, 2016-03-16 23:22:29, GET, /admin/default/site, HTTP/1.1, 200, 0.056808
127.0.0.1, 2016-03-16 23:22:29, GET, /admin/static/_2.13.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000363
127.0.0.1, 2016-03-16 23:22:29, GET, /admin/static/_2.13.4/css/calendar.css, HTTP/1.1, 304, 0.003983
127.0.0.1, 2016-03-16 23:22:29, GET, /admin/static/_2.13.4/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000770
127.0.0.1, 2016-03-16 23:22:29, GET, /admin/static/_2.13.4/js/web2py.js, HTTP/1.1, 304, 0.001967
127.0.0.1, 2016-03-16 23:22:29, GET, /admin/static/_2.13.4/js/calendar.js, HTTP/1.1, 304, 0.004050
127.0.0.1, 2016-03-16 23:22:29, GET, /admin/static/_2.13.4/js/jquery.js, HTTP/1.1, 304, 0.005184
127.0.0.1, 2016-03-16 23:22:29, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.005672
127.0.0.1, 2016-03-16 23:22:29, GET, /admin/static/_2.13.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000509
127.0.0.1, 2016-03-16 23:22:29, GET, /admin/static/_2.13.4/css/bootstrap.min.css, HTTP/1.1, 304, 0.002544
127.0.0.1, 2016-03-16 23:22:29, GET, /admin/static/_2.13.4/js/bootstrap.min.js, HTTP/1.1, 304, 0.000363
127.0.0.1, 2016-03-16 23:22:29, GET, /admin/static/_2.13.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.002798
127.0.0.1, 2016-03-16 23:22:29, GET, /admin/static/_2.13.4/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000391
127.0.0.1, 2016-03-16 23:22:29, GET, /admin/static/_2.13.4/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.005290
127.0.0.1, 2016-03-16 23:22:30, GET, /admin/static/_2.13.4/images/folder.png, HTTP/1.1, 304, 0.000738
127.0.0.1, 2016-03-16 23:22:30, GET, /admin/static/_2.13.4/images/folder_locked.png, HTTP/1.1, 304, 0.001881
127.0.0.1, 2016-03-16 23:22:30, GET, /admin/static/_2.13.4/images/questions.png, HTTP/1.1, 304, 0.000553
127.0.0.1, 2016-03-16 23:22:30, GET, /admin/static/_2.13.4/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000374
127.0.0.1, 2016-03-16 23:22:37, GET, /datos/default/index, HTTP/1.1, 500, 5.249486
127.0.0.1, 2016-03-16 23:22:48, GET, /admin/default/ticket/datos/127.0.0.1.2016-03-16.23-22-31.869f0882-d7f6-4b3d-9de8-d6852c815b24, HTTP/1.1, 200, 0.173363
127.0.0.1, 2016-03-16 23:22:57, GET, /admin/default/site, HTTP/1.1, 200, 0.056927
127.0.0.1, 2016-03-16 23:23:00, GET, /admin/default/design/datos, HTTP/1.1, 200, 0.191495
127.0.0.1, 2016-03-16 23:23:00, GET, /admin/static/_2.13.4/images/search.png, HTTP/1.1, 200, 0.000736
127.0.0.1, 2016-03-16 23:23:00, GET, /admin/static/_2.13.4/images/help.png, HTTP/1.1, 200, 0.000392
127.0.0.1, 2016-03-16 23:23:00, GET, /admin/static/_2.13.4/images/delete_icon.png, HTTP/1.1, 200, 0.000330
127.0.0.1, 2016-03-16 23:23:00, GET, /admin/static/_2.13.4/images/test_icon.png, HTTP/1.1, 200, 0.000349
127.0.0.1, 2016-03-16 23:23:03, GET, /admin/default/site, HTTP/1.1, 200, 0.089175
127.0.0.1, 2016-03-16 23:23:11, GET, /admin/default/about/datos, HTTP/1.1, 200, 0.116261
127.0.0.1, 2016-03-16 23:23:11, GET, /admin/static/_2.13.4/js/jquery.flot.resize.js, HTTP/1.1, 200, 0.000593
127.0.0.1, 2016-03-16 23:23:11, GET, /admin/static/_2.13.4/js/jquery.flot.js, HTTP/1.1, 200, 0.002186
127.0.0.1, 2016-03-16 23:23:17, GET, /admin/default/site, HTTP/1.1, 200, 0.052775
127.0.0.1, 2016-03-16 23:23:30, GET, /admin/default/design/datos, HTTP/1.1, 200, 0.119608
127.0.0.1, 2016-03-16 23:23:37, GET, /datos/default/index, HTTP/1.1, 500, 5.040906
127.0.0.1, 2016-03-16 23:24:28, GET, /admin/default/peek/datos/models/db.py, HTTP/1.1, 200, 0.061144
127.0.0.1, 2016-03-16 23:24:31, GET, /admin/default/design/datos, HTTP/1.1, 200, 0.113959
127.0.0.1, 2016-03-16 23:24:33, GET, /admin/default/peek/datos/models/db0.py, HTTP/1.1, 200, 0.052130
127.0.0.1, 2016-03-16 23:24:34, GET, /admin/default/design/datos, HTTP/1.1, 200, 0.107001
127.0.0.1, 2016-03-16 23:24:36, GET, /admin/default/peek/datos/models/db1.py, HTTP/1.1, 200, 0.060983
127.0.0.1, 2016-03-16 23:24:48, GET, /admin/default/design/datos, HTTP/1.1, 200, 0.160445
127.0.0.1, 2016-03-16 23:24:50, GET, /admin/default/peek/datos/models/db.py, HTTP/1.1, 200, 0.046012
127.0.0.1, 2016-03-16 23:29:36, GET, /admin/default/design/datos, HTTP/1.1, 200, 0.108933
127.0.0.1, 2016-03-16 23:29:52, GET, /admin/default/site, HTTP/1.1, 200, 0.054726
127.0.0.1, 2016-03-16 23:29:59, GET, /admin/default/design/datos, HTTP/1.1, 200, 0.156453
127.0.0.1, 2016-03-16 23:52:15, GET, /admin/static/_2.13.4/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001724
127.0.0.1, 2016-03-16 23:52:51, GET, /admin/default/peek/datos/models/db0.py, HTTP/1.1, 303, 0.105983
127.0.0.1, 2016-03-16 23:52:51, GET, /admin/default/index, HTTP/1.1, 200, 0.098525
127.0.0.1, 2016-03-16 23:52:53, GET, /admin/default/design/datos, HTTP/1.1, 303, 0.007971
127.0.0.1, 2016-03-16 23:52:53, GET, /admin/default/index, HTTP/1.1, 200, 0.040280
127.0.0.1, 2016-03-16 23:52:56, GET, /admin/default/index, HTTP/1.1, 200, 0.039924
127.0.0.1, 2016-03-16 23:52:56, GET, /admin/default/index, HTTP/1.1, 200, 0.038779
127.0.0.1, 2016-03-16 23:52:57, GET, /admin/default/index, HTTP/1.1, 200, 0.039181
127.0.0.1, 2016-03-17 00:08:36, GET, /datos/default/index, HTTP/1.1, 500, 5.150041
127.0.0.1, 2016-03-17 00:09:23, GET, /admin/default/edit/datos/models/db0.py, HTTP/1.1, 303, 0.004909
127.0.0.1, 2016-03-17 00:09:23, GET, /admin/default/index, HTTP/1.1, 200, 0.043529
127.0.0.1, 2016-03-17 00:09:25, POST, /admin/default/index, HTTP/1.1, 303, 0.036872
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/default/edit/datos/models/db0.py, HTTP/1.1, 200, 0.064850
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000639
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000609
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000469
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000754
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001838
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001545
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000833
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000481
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000962
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000820
