127.0.0.1, 2016-08-31 23:00:03, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.059042
127.0.0.1, 2016-08-31 23:00:11, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.062225
127.0.0.1, 2016-08-31 23:00:18, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.059191
127.0.0.1, 2016-08-31 23:00:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.317058
127.0.0.1, 2016-08-31 23:00:20, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.779444
127.0.0.1, 2016-08-31 23:00:26, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.067324
127.0.0.1, 2016-08-31 23:00:27, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.061234
127.0.0.1, 2016-08-31 23:00:27, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.060681
127.0.0.1, 2016-08-31 23:00:28, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.063223
127.0.0.1, 2016-08-31 23:00:28, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.061736
127.0.0.1, 2016-08-31 23:00:29, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.064555
127.0.0.1, 2016-08-31 23:00:29, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.066113
127.0.0.1, 2016-08-31 23:00:29, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.062329
127.0.0.1, 2016-08-31 23:00:40, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.061487
127.0.0.1, 2016-08-31 23:00:41, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.066549
127.0.0.1, 2016-08-31 23:00:42, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.063428
127.0.0.1, 2016-08-31 23:00:42, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.064493
127.0.0.1, 2016-08-31 23:00:49, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.067900
127.0.0.1, 2016-08-31 23:01:19, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.059584
127.0.0.1, 2016-08-31 23:01:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.300292
127.0.0.1, 2016-08-31 23:01:20, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.770077
127.0.0.1, 2016-08-31 23:01:23, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.055957
127.0.0.1, 2016-08-31 23:02:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.328146
127.0.0.1, 2016-08-31 23:02:20, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.782413
127.0.0.1, 2016-08-31 23:02:41, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.059090
127.0.0.1, 2016-08-31 23:02:48, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.064619
127.0.0.1, 2016-08-31 23:02:50, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.066159
127.0.0.1, 2016-08-31 23:03:12, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.057907
127.0.0.1, 2016-08-31 23:03:16, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.060331
127.0.0.1, 2016-08-31 23:03:16, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.058614
